ID_deNovo,SMILES_curated,Database,pKd,Z_Score_Combined,Z_Score_Combined_LE,Z_S_norm,Z_LE_norm,pKd_norm,Z_combined_mean
HD8_HD048,Oc1ccc(-c2[nH]ncc2Cl)cc1SCc1n[nH]c(=S)[nH]1,smHD8_HighDiv,3.78,-3.3069677288993407,-1.1053390363979207,0.0,0.3430061907629612,0.3263598326359832,0.3388821193756593
HD8_DL038,O=C(O[C@@H](c1cc[nH]n1)c1nnc[nH]1)c1ccc(O)cc1,smHD8_Druglike,4.04,-2.8243993118246187,-0.7493089546577624,0.07144403392624285,0.40640699482847165,0.43514644351464443,0.3475681950800234
HD8_HD043,C=C(/C=C/c1[nH]cnc1-c1cn[nH]n1)c1ccc(O)cc1,smHD8_HighDiv,3.79,-2.5454603679988197,-0.5415987041915602,0.11274081726495636,0.4433954336363387,0.3305439330543934,0.4085307726156339
HD8_HD271,N/C(=C\c1[nH]ncc1Cl)C(N)(N)/C=C/[N+](=O)[O-],smHD8_HighDiv,3.13,-2.2285662684364653,-1.9379259648940586,0.15965684408950787,0.19474152598215175,0.054393305439330505,0.4333350215441097
HD8_DL072,NCCCNc1ccnc(CCc2nnc(C(=O)O)[nH]2)n1,smHD8_Druglike,3.8,-2.191753631832932,-0.2781886076828959,0.1651069381390943,0.49030273943476144,0.33472803347280333,0.4402272147003508
HD8_HD062,O=C(O)C1=NC=C[C@@H](CCCc2c[nH]c(S)n2)N1,smHD8_HighDiv,3.71,-2.0670393760668375,-1.3216570138655979,0.18357082679150755,0.3044849129028361,0.29707112970711297,0.39699486999574357
HD8_HD107,Nc1ccnc(Nc2cc(O)cc(Br)c2)n1,smHD8_HighDiv,3.57,-2.063624706373092,-2.3066570373183395,0.18407636708137096,0.12907896634288163,0.23849372384937234,0.35822053652496005
HD8_DL001,O=C(C/C=C1\Cc2cccc(C(=O)O)c2N1)NCc1cccc2c1C(=O)NC2=O,smHD8_Druglike,5.39,-2.046125810575762,1.7058755935968726,0.1866670706184875,0.8436191363636544,1.0,0.34342873566071397
HD8_DL017,O=C(C/C=C1\Cc2ccccc2N1)Oc1ncnc2[nH]cnc12,smHD8_Druglike,4.51,-2.032939722597593,0.4309125424972948,0.1886192649261412,0.6165774150617882,0.6317991631799164,0.39113250560267104
HD8_DL006,CCc1ccc2c(c1)N/C(=C/CC(=O)Nc1cccc(NC(=O)CCl)c1)C2,smHD8_Druglike,4.88,-2.0195490285253315,1.3574967214334424,0.19060175107265265,0.7815808375023878,0.7866108786610879,0.39519056997131746
HD8_DL264,N[C@@H](C#Cc1nc(Cl)c[nH]1)CCc1cn[nH]c1,smHD8_Druglike,3.09,-2.0186041846539022,-1.7452461889470328,0.19074163477663517,0.22905338149305624,0.03765690376569032,0.46071270416800036
HD8_HD108,O=[N+]([O-])/C=C/c1c(/C=C/[C@@H]2CCN2)n[nH]c1O,smHD8_HighDiv,3.57,-2.013700581422985,-1.741167669428479,0.19146761099719717,0.22977967241659092,0.23849372384937234,0.39425118652147195
HD8_DL009,CCc1ccc2c(c1)N/C(=C/CC(=O)NCCc1ccnc(N)n1)C2,smHD8_Druglike,4.71,-1.9951968070106556,0.9532150503027582,0.19420708635468478,0.7095875303825122,0.7154811715481172,0.39610448172969326
HD8_DL055,O=C(Nc1cccc2c1N/C(=C/CO)C2)c1cc[nH]n1,smHD8_Druglike,3.88,-1.9779596805014004,-0.4566429239884388,0.19675903506816117,0.4585241125068555,0.3682008368200837,0.42902743691831097
HD8_HD198,CNCNNCc1c[nH]c2cc([SH]=O)c(F)cc12,smHD8_HighDiv,3.3,-1.9474409033293003,-1.215381022628874,0.20127732610114715,0.32341023310143946,0.1255230125523012,0.46638818221676176
HD8_DL074,NCNCCCc1ccc(NC(=O)CN)cc1Br,smHD8_Druglike,3.78,-1.8981602779333633,-1.1769388254652708,0.20857330020164164,0.3302559080463901,0.3263598326359832,0.40415645853734955
