ID_deNovo;SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical;SMILES_curated
HD8_HD001;OC(=S)NC1=CC=C(C(=C1)/C=C/CC1=NC(=CN1)[C@H](C)S)C=C;6/000000103;InChI=1S/C17H19N3OS2/c1-3-12-7-8-14(19-17(21)23)9-13(12)5-4-6-16-18-10-15(20-16)11(2)22/h3-5,7-11,22H,1,6H2,2H3,(H,18,20)(H2,19,21,23)/b5-4+/t11-/m0/s1;C17H19N3OS2;345;3.45;4.63;-11.5;24.7;-170;C=Cc1ccc(NC(O)=S)cc1/C=C/Cc1nc([C@H](C)S)c[nH]1
HD8_HD002;OC1=CC=C(C(=C1)C1=CC(Cl)=CC(=C1O)Cl)CC(=O)C;3/000000076;InChI=1S/C15H12Cl2O3/c1-8(18)4-9-2-3-11(19)7-12(9)13-5-10(16)6-14(17)15(13)20/h2-3,5-7,19-20H,4H2,1H3;C15H12O3Cl2;310;4.09;4.54;-6.86;15.0;-180;CC(=O)Cc1ccc(O)cc1-c1cc(Cl)cc(Cl)c1O
HD8_HD003;OC(=O)C/C=C/C1=CNC(=NC1)C1=C(Br)C=NN1;4/000000002;InChI=1S/C11H11BrN4O2/c12-8-6-15-16-10(8)11-13-4-7(5-14-11)2-1-3-9(17)18/h1-2,4,6H,3,5H2,(H,13,14)(H,15,16)(H,17,18)/b2-1+;C11H11N4O2Br;311;1.27;4.5;-2.49;23.9;-160;O=C(O)C/C=C/C1=CNC(c2[nH]ncc2Br)=NC1
HD8_HD004;OC1=CC=C(C=C1)CC#CC1C(I)=CN=C(C=1Cl)N;3/000000134;InChI=1S/C14H10ClIN2O/c15-13-11(12(16)8-18-14(13)17)3-1-2-9-4-6-10(19)7-5-9/h4-8,19H,2H2,(H2,17,18);C14H10N2OClI;384;4.38;4.48;-5.8;16.4;0;Nc1ncc(I)c(C#CCc2ccc(O)cc2)c1Cl
HD8_HD005;OC1=CC=C(C=C1[C@H](CC1=CSN=C1)O)C(=C)C=C;3/000000315;InChI=1S/C15H15NO2S/c1-3-10(2)12-4-5-14(17)13(7-12)15(18)6-11-8-16-19-9-11/h3-5,7-9,15,17-18H,1-2,6H2/t15-/m0/s1;C15H15NO2S;273;2.62;4.34;-5.32;19.1;-150;C=CC(=C)c1ccc(O)c([C@@H](O)Cc2cnsc2)c1
HD8_HD006;OC1=CC=C(C=C1[C@H](CC1=NC=CN1)O)C(=C)C=C;3/000000223;InChI=1S/C15H16N2O2/c1-3-10(2)11-4-5-13(18)12(8-11)14(19)9-15-16-6-7-17-15/h3-8,14,18-19H,1-2,9H2,(H,16,17)/t14-/m0/s1;C15H16N2O2;256;1.67;4.22;-5.56;17.1;-150;C=CC(=C)c1ccc(O)c([C@@H](O)Cc2ncc[nH]2)c1
HD8_HD007;OC(=O)C/C=C/C1=CNC(=NC1)C1=CCON1;4/000000132;InChI=1S/C11H13N3O3/c15-10(16)3-1-2-8-6-12-11(13-7-8)9-4-5-17-14-9/h1-2,4,6,14H,3,5,7H2,(H,12,13)(H,15,16)/b2-1+;C11H13N3O3;235;0.36;4.17;-2.35;20.4;-160;O=C(O)C/C=C/C1=CNC(C2=CCON2)=NC1
HD8_HD008;SC[C@](C1=CN=C(N1)/C=C/COC(=O)CC)(C1=NN=CS1)O;4/000000140;InChI=1S/C13H16N4O3S2/c1-2-11(18)20-5-3-4-10-14-6-9(16-10)13(19,7-21)12-17-15-8-22-12/h3-4,6,8,19,21H,2,5,7H2,1H3,(H,14,16)/b4-3+/t13-/m0/s1;C13H16N4O3S2;340;1.59;4.15;-2.86;3.58;-190;CCC(=O)OC/C=C/c1ncc([C@@](O)(CS)c2nncs2)[nH]1
HD8_HD009;OCC1C=C(Cl)C(=CC=1[C@H](N(=O)=O)C#CCN)Cl;4/000000174;InChI=1S/C11H10Cl2N2O3/c12-9-4-7(6-16)8(5-10(9)13)11(15(17)18)2-1-3-14/h4-5,11,16H,3,6,14H2/t11-/m1/s1;C11H10N2O3Cl2;288;1.91;4.15;-7.78;19.4;-150;NCC#C[C@H](c1cc(Cl)c(Cl)cc1CO)[N+](=O)[O-]
HD8_HD010;OC1=CC=CC(=C1)C1C=C(C(=O)N)C=C(C=1)N(=O)=O;3/000000051;InChI=1S/C13H10N2O4/c14-13(17)10-4-9(5-11(6-10)15(18)19)8-2-1-3-12(16)7-8/h1-7,16H,(H2,14,17);C13H10N2O4;258;2.34;4.13;-6.81;2.22;-180;NC(=O)c1cc(-c2cccc(O)c2)cc([N+](=O)[O-])c1
HD8_HD011;OC1=CC=C(C=C1)C(=C)C(=O)C1C=CC=C(C=1Br)C(=O)NN;2/000000016;InChI=1S/C16H13BrN2O3/c1-9(10-5-7-11(20)8-6-10)15(21)12-3-2-4-13(14(12)17)16(22)19-18/h2-8,20H,1,18H2,(H,19,22);C16H13N2O3Br;361;2.81;4.02;-2.42;3.58;-34;C=C(C(=O)c1cccc(C(=O)NN)c1Br)c1ccc(O)cc1
HD8_HD012;C1=CC=C(C=C1C[NH3+])/C(=C\CC)/C=C/CS(=O)(=O)N;5/000000128;InChI=1S/C14H20N2O2S/c1-2-5-13(8-4-9-19(16,17)18)14-7-3-6-12(10-14)11-15/h3-8,10H,2,9,11,15H2,1H3,(H2,16,17,18)/p+1/b8-4+,13-5-;C14H21N2O2S;281;1.08;4.02;-2.34;5.09;-20;CC/C=C(/C=C/CS(N)(=O)=O)c1cccc(CN)c1
HD8_HD013;C(=S)C1C2=C(NC=C2)C=C(C=1)[S@@](=O)CC/C=C/[C@@H]1NCCC1;3/000000186;InChI=1S/C17H20N2OS2/c20-22(9-2-1-4-14-5-3-7-18-14)15-10-13(12-21)16-6-8-19-17(16)11-15/h1,4,6,8,10-12,14,18-19H,2-3,5,7,9H2/b4-1+/t14-,22-/m0/s1;C17H20N2OS2;332;1.75;3.98;-4.81;22.3;-190;[O-][S@@+](CC/C=C/[C@H]1CCCN1)c1cc(C=S)c2cc[nH]c2c1
HD8_HD014;OC1=C(O)C=C(C=C1[C@H](C)O)C(=C)C=C;3/000000300;InChI=1S/C12H14O3/c1-4-7(2)9-5-10(8(3)13)12(15)11(14)6-9/h4-6,8,13-15H,1-2H2,3H3/t8-/m0/s1;C12H14O3;206;1.87;3.97;-4.72;3.85;-170;C=CC(=C)c1cc(O)c(O)c([C@H](C)O)c1
