SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
NOC/C=C/C=C/C1=CC(N)=CC(=C1)F;1/000000086;InChI=1S/C11H13FN2O/c12-10-6-9(7-11(13)8-10)4-2-1-3-5-15-14/h1-4,6-8H,5,13-14H2/b3-1+,4-2+;C11H13N2OF;208;0.92;3.31;-7.96;3.58;0
OC1=C(/C=C/N(=O)=O)C(=NN1)/C=C/[C@H]1NCC1;1/000000061;InChI=1S/C10H12N4O3/c15-10-8(4-6-14(16)17)9(12-13-10)2-1-7-3-5-11-7/h1-2,4,6-7,11H,3,5H2,(H2,12,13,15)/b2-1+,6-4+/t7-/m1/s1;C10H12N4O3;236;1.24;3.07;-6.18;3.58;-190
O=N(=O)/C=C/C(C(=O)CC1=CC=CC=C1)(N)N;1/000000001;InChI=1S/C11H13N3O3/c12-11(13,6-7-14(16)17)10(15)8-9-4-2-1-3-5-9/h1-7H,8,12-13H2/b7-6+;C11H13N3O3;235;0.19;3.17;-6.87;5.09;-190
S[C@H](C(=O)C1=CC=CC=C1)C(=O)O;1/000000110;InChI=1S/C9H8O3S/c10-7(8(13)9(11)12)6-4-2-1-3-5-6/h1-5,8,13H,(H,11,12)/t8-/m1/s1;C9H8O3S;196;1.17;3.13;-2.61;2.22;-150
C(=C)CC1=N[N]/C(=[NH]\C/C=C/CC(=O)NN)/N1;1/000000101;InChI=1S/C10H16N6O/c1-2-5-8-13-10(16-15-8)12-7-4-3-6-9(17)14-11/h2-4,12H,1,5-7,11H2,(H,13,15)(H,14,17)/b4-3+,12-10-;C10H16N6O;236;-0.06;3.15;-7.85;2.22;-60
OC1=CC=C(C=C1)[C@H](CSC/C=C/CON)C;1/000000046;InChI=1S/C13H19NO2S/c1-11(10-17-9-3-2-8-16-14)12-4-6-13(15)7-5-12/h2-7,11,15H,8-10,14H2,1H3/b3-2+/t11-/m0/s1;C13H19NO2S;253;2.12;3.49;-9.64;3.58;-170
O[C@H](C(=O)C1=CC=CC=C1)N;1/000000053;InChI=1S/C8H9NO2/c9-8(11)7(10)6-4-2-1-3-5-6/h1-5,8,11H,9H2/t8-/m1/s1;C8H9NO2;151;0.29;3.44;-4.90;2.22;-150
NOC/C=C/C=C/[C@@H]1CNC=CC1;1/000000033;InChI=1S/C10H16N2O/c11-13-8-3-1-2-5-10-6-4-7-12-9-10/h1-5,7,10,12H,6,8-9,11H2/b3-1+,5-2+/t10-/m0/s1;C10H16N2O;180;0.17;3.16;-0.77;2.22;-150
NOC/C=C/C=C/[C@@H]1CNC=CC1;1/000000067;InChI=1S/C10H16N2O/c11-13-8-3-1-2-5-10-6-4-7-12-9-10/h1-5,7,10,12H,6,8-9,11H2/b3-1+,5-2+/t10-/m0/s1;C10H16N2O;180;0.17;3.43;-0.23;2.22;-150
NOC/C=C/C1=CC=C2C(=C1)[N]C(=[NH2])N2;1/000000012;InChI=1S/C10H12N4O/c11-10-13-8-4-3-7(2-1-5-15-12)6-9(8)14-10/h1-4,6,13H,5,11-12H2/b2-1+;C10H12N4O;204;0.03;3.12;-8.20;13.70;-40
OS(=O)(=O)C[C@H]1OC=C(OC1)CC#CC=C1NCCN1;1/000000103;InChI=1S/C12H16N2O5S/c15-20(16,17)9-11-8-18-10(7-19-11)3-1-2-4-12-13-5-6-14-12/h4,7,11,13-14H,3,5-6,8-9H2,(H,15,16,17)/t11-/m0/s1;C12H16N2O5S;300;0.10;3.69;-5.84;24.30;-150
SCCN[C@@H](CC/C=C/CON)C1=CN=CC=C1;1/000000075;InChI=1S/C13H21N3OS/c14-17-9-3-1-2-6-13(16-8-10-18)12-5-4-7-15-11-12/h1,3-5,7,11,13,16,18H,2,6,8-10,14H2/b3-1+/t13-/m0/s1;C13H21N3OS;267;0.95;3.54;-4.06;3.58;-150
OC1=C(/C=C/N(=O)=O)C(=NN1)/C=C/[C@H]1NCC1;1/000000059;InChI=1S/C10H12N4O3/c15-10-8(4-6-14(16)17)9(12-13-10)2-1-7-3-5-11-7/h1-2,4,6-7,11H,3,5H2,(H2,12,13,15)/b2-1+,6-4+/t7-/m1/s1;C10H12N4O3;236;1.24;3.10;-6.38;3.58;-190
NOC/C=C/C=C/C1C=CC=C2C=1SNC2=O;1/000000088;InChI=1S/C12H12N2O2S/c13-16-8-3-1-2-5-9-6-4-7-10-11(9)17-14-12(10)15/h1-7H,8,13H2,(H,14,15)/b3-1+,5-2+;C12H12N2O2S;248;1.23;3.52;-6.43;5.09;-40
N1N=CC(=N1)C(=S)NC1=CC(Cl)=CC(=C1)Br;1/000000054;InChI=1S/C9H6BrClN4S/c10-5-1-6(11)3-7(2-5)13-9(16)8-4-12-15-14-8/h1-4H,(H,13,16)(H,12,14,15);C9H6N4SClBr;317;3.98;3.27;-1.23;20.50;0
NOC/C=C/[C@H](C/C=C/N)Cl;1/000000091;InChI=1S/C7H13ClN2O/c8-7(3-1-5-9)4-2-6-11-10/h1-2,4-5,7H,3,6,9-10H2/b4-2+,5-1+/t7-/m0/s1;C7H13N2OCl;176;0.05;3.04;-1.56;2.22;-150
SCCN[C@@H](CC/C=C/CON)C1=CN=CC=C1;1/000000073;InChI=1S/C13H21N3OS/c14-17-9-3-1-2-6-13(16-8-10-18)12-5-4-7-15-11-12/h1,3-5,7,11,13,16,18H,2,6,8-10,14H2/b3-1+/t13-/m0/s1;C13H21N3OS;267;0.95;3.55;-4.06;3.58;-150
NC(C(=O)C1=CC=CC=C1)N;1/000000048;InChI=1S/C8H10N2O/c9-8(10)7(11)6-4-2-1-3-5-6/h1-5,8H,9-10H2;C8H10N2O;150;0.22;3.38;-4.54;1.00;-150
